tweet_id,text,author_name,author_id,place_name,geoJson,place_id,time_created,sentiment
1548982704548585475,It feels very cringy to see all the Indy journalists calling the good guy with a gun the “Good Samaritan.”,Joe Garrison,126095245,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T10:47:10.000Z,0.128
1548981439915610112,@SRuhle Because that's only one incident. Ur not acknowledging the many incidents where a good guy with a gun saved many. And we all know in most cases by the time police get there it's 2 late. Arming teachers could buy some time. Why are u choosing not 2 arm teachers who have the right?,RUBQ,1271423673963069440,"Auburn, IN","{'type': 'Feature', 'bbox': [-85.097463, 41.343829, -85.021992, 41.404553], 'properties': {}}",1284aa5bc6580fce,2022-07-18T10:42:08.000Z,0.5106
1548977237961080832,"@CoynDog24 Tweet was apparently deleted by the reporter but initial reports had this as starting with an argument among teenagers. Regardless, too many teens have guns.",Joe Garrison,126095245,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T10:25:26.000Z,-0.5023
1548977136064729088,@SpaldoBusiness What if guns were banned and instead he had an assault axe?? A Good Samaritan with a club perhaps??,ElToro,1150887641539338246,"Plainfield, IN","{'type': 'Feature', 'bbox': [-86.458669, 39.63067, -86.326295, 39.749143], 'properties': {}}",724e7bdbe5e6b8e2,2022-07-18T10:25:02.000Z,-0.7399
1548976767918133249,https://t.co/SKyjaZ7Mwp Right to carry good guy with a gun saved many.,RUBQ,1271423673963069440,"Auburn, IN","{'type': 'Feature', 'bbox': [-85.097463, 41.343829, -85.021992, 41.404553], 'properties': {}}",1284aa5bc6580fce,2022-07-18T10:23:34.000Z,0.5106
1548973899827789824,"After a restless night, I’m still in complete disbelief. My heart is broken for the victims and my community. I pray that all those involved are able to find the resources they need to cope &amp; heal.  Also, I pray that this madness of gun violence somehow comes to an end.#Greenwood",Ezra J. Hill,1561398446,"Greenwood, IN","{'type': 'Feature', 'bbox': [-86.25064, 39.5293583, -86.040001, 39.636719], 'properties': {}}",008f15ef5cfd041a,2022-07-18T10:12:10.000Z,-0.9062
1548973046559563779,@Eric_Howell @joaomartinssilv @David_Leavitt When asked by the emporer of Japan why he was afraid to invade America. Admiral Yamamoto replied because there will be a gun behind every blade of grass!!,ElToro,1150887641539338246,"Plainfield, IN","{'type': 'Feature', 'bbox': [-86.458669, 39.63067, -86.326295, 39.749143], 'properties': {}}",724e7bdbe5e6b8e2,2022-07-18T10:08:47.000Z,-0.1739
1548899677013262336,If it wasn’t for his him carrying that gun so many could be dead. I could be dead. Im thankful he safely used his weapon to product.,Brittney,19008332,"Greenwood, IN","{'type': 'Feature', 'bbox': [-86.25064, 39.5293583, -86.040001, 39.636719], 'properties': {}}",008f15ef5cfd041a,2022-07-18T05:17:14.000Z,-0.743
1548898804539293696,Seeing tweets/post we shouldn’t be thankful for the good Samaritan in the Greenwood park mall shooting is gross. I hate gun. It appears to me he had carry license &amp; sadly used that to protect,Brittney,19008332,"Greenwood, IN","{'type': 'Feature', 'bbox': [-86.25064, 39.5293583, -86.040001, 39.636719], 'properties': {}}",008f15ef5cfd041a,2022-07-18T05:13:46.000Z,-0.4215
1548887611791622145,"@deanc24 I'm glad that the ""Good Samaritan"" (who was obviously more trained than the average gun owner) was there and eventually stopped the shooter, but the shooting shouldn't have happened in the first place.",That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T04:29:18.000Z,0.2023
1548886159538937857,"Fuck your thoughts and prayers. Passing common sense gun laws would've prevented this from happening. You have blood on your hands.

#GreenwoodParkMall #GunControlNow #EndGunViolence https://t.co/DRX5wuLONc",That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T04:23:32.000Z,-0.7003
